timestamp,day,hour,bag_id,flight,terminal,zone,sensor,process,speed,vibration,temp,rfid_ok,jam,intervene,priority,result,screen_delay,vehicle_delay
1/1/2025 19:16,1,19,B001,FL101,T2,Zone_B,C-02,checkin,1.37,4.7,43.9,1,0,0,0,1,,0.3
1/1/2025 19:20,1,19,B001,FL101,T2,Zone_B,S-12,screening,,4,42.8,1,0,0,0,1,1.3,
1/1/2025 19:25,1,19,B001,FL101,T2,Zone_B,S-23,sorting,,3,45.1,1,0,0,0,1,,
1/1/2025 19:30,1,19,B001,FL101,T2,Zone_B,S-09,transport,1.51,5,50.9,1,0,0,0,1,,1
1/1/2025 13:45,1,13,B002,FL220,T3,Zone_C,C-02,checkin,1.27,5.3,50.5,1,0,0,0,1,,0.2
1/1/2025 13:48,1,13,B002,FL220,T3,Zone_C,S-12,screening,,4.2,49.5,1,0,0,0,1,2,
1/1/2025 13:55,1,13,B002,FL220,T3,Zone_C,S-22,sorting,,4.1,42.8,1,0,0,0,1,,
1/1/2025 13:58,1,13,B002,FL220,T3,Zone_C,S-01,transport,1.67,5.5,49.6,1,0,0,0,1,,0.7
1/1/2025 14:43,1,14,B003,FL170,T2,Zone_A,S-03,transport,1.69,4.9,50,1,0,0,0,1,,0.7
1/1/2025 14:46,1,14,B003,FL170,T2,Zone_A,S-13,screening,,4.7,45.9,1,0,0,0,1,1.4,
1/1/2025 14:52,1,14,B003,FL170,T2,Zone_A,S-23,sorting,,5.5,42.5,1,0,0,0,1,,
1/1/2025 14:55,1,14,B003,FL170,T2,Zone_A,S-09,transport,1.55,4.6,47.9,1,0,0,0,1,,0.4
1/1/2025 7:30,1,7,B004,FL150,T3,Zone_C,C-01,checkin,1.43,4.7,51.3,1,0,0,0,1,,0.5
1/1/2025 7:33,1,7,B004,FL150,T3,Zone_C,S-12,screening,,5.1,44.1,1,0,0,0,1,0,
1/1/2025 7:36,1,7,B004,FL150,T3,Zone_C,S-21,sorting,,3.1,47.8,1,0,0,0,1,,
1/1/2025 7:41,1,7,B004,FL150,T3,Zone_C,S-09,transport,1.81,6.7,58,1,0,0,0,1,,0.9
1/1/2025 8:35,1,8,B005,FL110,T1,Zone_C,S-02,transport,1.79,3.2,47.8,1,0,0,1,1,,1.1
1/1/2025 8:38,1,8,B005,FL110,T1,Zone_C,S-11,screening,,3.5,50,1,0,1,1,1,1.2,
1/1/2025 8:45,1,8,B005,FL110,T1,Zone_C,S-23,sorting,,5.5,43.4,1,0,1,1,1,,
1/1/2025 8:51,1,8,B005,FL110,T1,Zone_C,S-03,transport,1.65,5.1,48.8,1,0,1,1,1,,0.3
1/1/2025 8:26,1,8,B006,FL155,T3,Zone_B,C-01,checkin,1.58,4.8,51.4,1,0,0,0,1,,0.3
1/1/2025 8:29,1,8,B006,FL155,T3,Zone_B,S-11,screening,,4.1,42.1,1,0,0,0,1,0.5,
1/1/2025 8:34,1,8,B006,FL155,T3,Zone_B,S-21,sorting,,4.4,49.5,1,0,0,0,1,,
1/1/2025 8:38,1,8,B006,FL155,T3,Zone_B,S-01,transport,1.57,3.3,46,1,0,0,0,1,,0.9
1/1/2025 11:58,1,11,B007,FL200,T1,Zone_B,C-02,checkin,1.53,3.1,49.3,1,0,0,0,1,,0.2
1/1/2025 12:01,1,12,B007,FL200,T1,Zone_B,S-12,screening,,3.4,46.4,1,0,0,0,1,2,
1/1/2025 12:06,1,12,B007,FL200,T1,Zone_B,S-22,sorting,,2.9,51.6,1,0,0,0,1,,
1/1/2025 12:08,1,12,B007,FL200,T1,Zone_B,S-09,transport,1.6,5.1,42.5,1,0,0,0,1,,0.1
1/1/2025 10:27,1,10,B008,FL101,T1,Zone_B,S-02,transport,1.82,3,43.3,1,0,0,0,1,,0.8
1/1/2025 10:30,1,10,B008,FL101,T1,Zone_B,S-12,screening,,3.6,45.1,1,0,0,0,1,0.8,
1/1/2025 10:35,1,10,B008,FL101,T1,Zone_B,S-21,sorting,,4.4,44.3,1,0,0,0,1,,
1/1/2025 10:40,1,10,B008,FL101,T1,Zone_B,S-09,transport,1.7,7.8,59.8,1,0,0,0,1,,1.1
1/2/2025 7:39,2,7,B009,FL150,T3,Zone_B,C-02,checkin,1.59,3.2,49.1,1,0,0,0,0,,0.5
1/2/2025 7:43,2,7,B009,FL150,T3,Zone_B,S-13,screening,,3.8,45.6,1,0,0,0,1,1.6,
1/2/2025 7:46,2,7,B009,FL150,T3,Zone_B,S-23,sorting,,3.4,45.8,1,0,0,0,1,,
1/2/2025 7:48,2,7,B009,FL150,T3,Zone_B,S-02,transport,1.53,4.1,45.6,1,0,0,0,1,,1.2
1/2/2025 7:50,2,7,B010,FL115,T1,Zone_B,C-02,checkin,1.73,3.8,44.1,1,0,0,1,1,,0.5
1/2/2025 7:53,2,7,B010,FL115,T1,Zone_B,S-12,screening,,3.1,42.1,1,0,1,1,1,1.6,
1/2/2025 7:59,2,7,B010,FL115,T1,Zone_B,S-21,sorting,,3.6,48,1,0,0,1,1,,
1/2/2025 8:05,2,8,B010,FL115,T1,Zone_B,S-03,transport,1.67,4.2,42.2,1,0,1,1,1,,1
1/2/2025 6:36,2,6,B011,FL150,T2,Zone_C,S-01,transport,1.65,3,45.5,1,0,0,0,1,,0.7
1/2/2025 6:43,2,6,B011,FL150,T2,Zone_C,S-12,screening,,3,45.5,1,0,0,0,1,0.1,
1/2/2025 6:50,2,6,B011,FL150,T2,Zone_C,S-22,sorting,,3.3,49.6,1,1,0,0,1,,
1/2/2025 6:53,2,6,B011,FL150,T2,Zone_C,S-09,transport,1.87,5.3,51.5,1,0,0,0,1,,0.6
1/2/2025 13:38,2,13,B012,FL160,T3,Zone_C,C-01,checkin,1.74,4.3,48.6,1,0,0,1,1,,0.1
